Hostname,IP
Avamar_Node0_Virtual,199.66.101.2
Avamar_Node1_Virtual,199.66.101.3
Avamar_Node2_Virtual,199.66.101.4
Avamar_Node3_Virtual,199.66.101.5
Avamar_Node4_Virtual,199.66.101.6
Avamar_Node5_Virtual,199.66.101.7
Avamar_Node7_Virtual,199.66.101.8
Avamar_Util_Virtual,199.66.101.1
EXTERNAL_speedtest.evolveip.net,208.89.20.239
Netcool.Probe,10.160.0.40
UCS Central A,10.32.64.112
UCS Central B,10.32.64.113
UCS Central C,10.32.64.114
app01-lab.sccd.evolveip.net,10.32.16.101
app01.sccd.evolveip.net,10.32.16.35
apria-iex01.voip,74.117.229.138
apria-recorder01.cr.voip.evolveip.net,10.128.1.64
apria-recorder02.cr.voip.evolveip.net,10.128.1.65
apria-recorder03.cr.voip.evolveip.net,10.128.1.66
apria-recorder04.cr.voip.evolveip.net,10.128.1.67
as.ossmosis.evolveip.net,10.160.1.138
as01.ossmosis.evolveip.net,10.132.0.103
as02.ossmosis.evolveip.net,10.132.0.104
as1.lab.voip,10.128.4.21
as1.voip,10.128.0.101
as11.lab.voip,10.128.4.31
as11.voip,10.128.0.51
as12.voip,10.128.2.51
as12.voip.lab.evolveip.net,10.128.5.31
as13.voip,10.128.1.20
as14.voip,10.128.9.20
as15.voip.evolveip.net,10.128.1.23
as16.voip.evolveip.net,10.128.9.23
as2.voip,10.128.8.101
as2.voip.lab.evolveip.net,10.128.5.21
backup02,10.32.32.51
bamboo-01.evolveip.net,10.64.10.92
billing-archive01.boss.evolveip.net,10.64.10.200
billing-mysql01.evolveip.net,10.64.10.98
birst-01.voip.evolveip.net,10.128.0.65
bizops01.boss.evolveip.net,10.64.10.113
bizopsdb01.boss.evolveip.net,10.64.10.114
bnf-sftp01.evolveip.net,10.160.0.220
bondingadmin.evolveip.net,162.213.112.82
build-dev01.sccd.evolveip.net,10.32.16.200
build01.sccd.evolveip.net,10.32.16.36
bulk01.evolveip.net,10.32.16.74
bullhorn-monet01.evolveip.net,10.160.0.98
bullhorn-recorder01.cr.voip.evolveip.net,10.128.1.207
bullhorn-web01.cr.voip.evolveip.net,172.16.252.10
bwcc01.voip,10.160.0.81
c10842.mail.voip.evolveip.net,10.128.1.201
c11656.mail.voip.evolveip.net,10.128.1.203
c11799.mail.voip.evolveip.net,10.128.1.202
c12271.mail.voip.evolveip.net,10.128.1.204
c12939.mail.voip.evolveip.net,10.128.1.205
c12974.mail.voip.evolveip.net,10.128.1.206
c6181.mail.voip,10.160.0.92
c9311.mail.voip.evolveip.net,10.128.1.200
cache01.core,208.89.20.242
cache01.corp,10.160.0.20
cache02.corp,10.160.0.21
cache03.corp,10.128.0.5
cache11.core,199.66.103.17
cache11.corp,10.160.4.20
cache12.core,199.66.103.18
cache12.corp,10.160.4.21
cache13.corp,10.128.8.5
cardionet-recorder01.cr.voip.evolveip.net,10.128.1.61
cardionet-tr1.voip.evolveip.net,10.128.0.145
casa-app-dev01.voip.evolveip.net,10.128.3.222
casa-app-dev02.voip.evolveip.net,10.128.3.223
casa-app01.voip.evolveip.net,10.128.0.16
casa-app02.voip.evolveip.net,10.128.0.17
casa-fs-dev01.voip.evolveip.net,10.128.3.220
casa-fs01.voip.evolveip.net,10.128.0.14
casa-gateway-dev01.voip.evolveip.net,10.128.3.224
casa-gateway-dev02.voip.evolveip.net,10.128.3.225
casa-gateway01.voip.evolveip.net,10.128.0.30
casa-gateway02.voip.evolveip.net,10.128.0.31
casa-mgmt-dev01.voip.evolveip.net,10.128.3.221
casa-mgmt01.evolveip.net,10.128.0.15
ccca-sftp01.evolveip.net,10.160.2.121
ccms01.voip,10.128.0.143
cdr-01.voip.evolveip.net,10.128.3.249
cdr-nfs01.voip.evolveip.net,10.128.0.7
cdreport-dev01.evolveip.net,10.128.3.236
cdreport-nfs01,10.160.0.89
cdreport01,10.160.0.80
cdreport02,10.160.0.83
cdreport03,10.160.0.85
cdreport04,10.160.0.78
cdreport05,10.160.0.77
cdreport06,10.160.0.76
ci6-mgmt-prod.evolveip.net,10.64.10.90
confluence-01.evolveip.net,10.64.10.93
cr1-apria.voip,10.160.0.79
cr1-hth.voip.evolvip.net,10.160.0.140
cr1-web.voip.evolveip.net,10.160.0.29
cr1.voip.lab,10.128.4.26
cr2-web-dev.voip.lab.evolveip.net,10.128.4.70
cr2.voip,10.128.0.134
cr3.voip,10.128.0.144
cr5.voip,10.128.0.235
dashboard-preprod01.evolveip.net,10.160.0.133
dashboard02,10.160.0.39
dashboard03,10.160.0.49
dashboard04,10.160.0.69
dashboard05,10.160.0.72
dashboard06,10.160.2.123
datachannel01.evolveip.net,10.32.16.75
davinci.dev,192.168.2.15
db01-lab.sccd.evolveip.net,10.32.16.100
db01.sccd.evolveip.net,10.32.16.37
dbs-rep01.voip.evolveip.net,10.160.0.141
dbs-rep02.voip.evolveip.net,10.160.0.142
dbs1.lab,10.128.4.29
dbs1.voip.evolveip.net,10.128.0.114
dbs11.lab,10.128.4.37
dbs11.voip.evolveip.net,10.128.0.64
dbs12-lv.voip.evolveip.net,10.128.8.64
dbs12.voip.evolveip.net,10.128.2.64
dbs2.voip.evolveip.net,10.128.2.114
dl1.evolveip.net,10.32.16.71
dl2.evolveip.net,10.32.16.72
dl3.evolveip.net,10.32.16.73
dm01.evolveip.net,10.32.16.76
dv01.evolveip.net,10.32.16.77
dv02.evolveip.net,10.32.16.78
eip-nagios-01.evolveip.net,74.120.108.40
eit-recorder01.cr.voip.evolveip.net,10.128.3.55
eit-web01.cr.voip.evolveip.net,10.160.3.55
elap-recorder01.cr.voip.evolveip.net,10.128.1.76
elap-web01.cr.voip.evolveip.net,10.160.1.116
emc.se761.core,10.32.64.104
emc.univmaxpa161_6.core,10.32.64.102
emc.univmaxpv161_6.core,10.32.64.103
ems1.voip.lab.evolveip.net,10.128.4.2
engineering-util01.evolveip.net,10.32.16.62
evmui-02.evolveip.net,10.160.0.100
evmwk-01.evolveip.net,10.32.65.175
evmwk-02.evolveip.net,10.32.65.176
evmwk-03.evolveip.net,10.32.65.177
ews1.voip,10.160.0.113
ews1.voip.lab,10.128.4.25
ews11.voip,10.160.0.63
ews12.voip,10.160.2.63
ews2.voip,10.160.2.113
fe.ossmosis.evolveip.net,10.160.1.137
fe01.ossmosis.evolveip.net,10.160.1.129
fe02.ossmosis.evolveip.net,10.160.1.130
ftp-web01.cr.voip.evolveip.net,10.128.1.38
geb-sftp01.evolveip.net,10.160.0.215
geneq-recorder01.cr.voip.evolveip.net,10.128.3.79
geneq-web01.cr.voip.evolveip.net,10.160.3.79
highdeal-IEC,192.168.2.31
highdeal-TRX,192.168.2.30
highdeal-dev-iec.dev.evolveip.net,192.168.2.81
highdeal-dev-trx.dev.evolveip.net,192.168.2.82
